Nome	Identificação	Catmat	Quantidade	Estoque ideal	Posição	Categoria	Descrição
RESISTOR DE CARBONO - 5W – 1K?	Csm-0001	0	125	100	Xxx-0000	Consumo	RESISTOR DE CARBONO - 5W – 1K?
RESISTOR DE CARBONO – 1/2W - 1M?	Csm-0001	0	936	500	Xxx-0000	Consumo	RESISTOR DE CARBONO – 1/2W - 1M?
RESISTOR DE CARBONO – 1/2W – 1,2K?	Csm-0001	0	419	500	Xxx-0000	Consumo	RESISTOR DE CARBONO – 1/2W – 1,2K?
RESISTOR DE CARBONO – 1/2W – 1,5K?	Csm-0001	0	904	500	Xxx-0000	Consumo	RESISTOR DE CARBONO – 1/2W – 1,5K?
RESISTOR DE CARBONO – 1/2W – 1,5M?	Csm-0001	0	399	100	Xxx-0000	Consumo	RESISTOR DE CARBONO – 1/2W – 1,5M?
RESISTOR DE CARBONO – 1/2W – 1,5?	Csm-0001	0	1071	500	Xxx-0000	Consumo	RESISTOR DE CARBONO – 1/2W – 1,5?
RESISTOR DE CARBONO – 1/2W – 1,8K?	Csm-0001	0	942	500	Xxx-0000	Consumo	RESISTOR DE CARBONO – 1/2W – 1,8K?
RESISTOR DE CARBONO – 1/2W – 10?	Csm-0001	0	928	500	Xxx-0000	Consumo	RESISTOR DE CARBONO – 1/2W – 10?
RESISTOR DE CARBONO – 1/2W – 120K?	Csm-0001	0	1052	500	Xxx-0000	Consumo	RESISTOR DE CARBONO – 1/2W – 120K?
RESISTOR DE CARBONO – 1/2W – 120?	Csm-0001	0	892	500	Xxx-0000	Consumo	RESISTOR DE CARBONO – 1/2W – 120?
RESISTOR DE CARBONO – 1/2W – 12K?	Csm-0001	0	976	500	Xxx-0000	Consumo	RESISTOR DE CARBONO – 1/2W – 12K?
RESISTOR DE CARBONO – 1/2W – 12?	Csm-0001	0	999	500	Xxx-0000	Consumo	RESISTOR DE CARBONO – 1/2W – 12?
RESISTOR DE CARBONO – 1/2W – 150K?	Csm-0001	0	991	500	Xxx-0000	Consumo	RESISTOR DE CARBONO – 1/2W – 150K?
RESISTOR DE CARBONO – 1/2W – 15K?	Csm-0001	0	963	500	Xxx-0000	Consumo	RESISTOR DE CARBONO – 1/2W – 15K?
RESISTOR DE CARBONO – 1/2W – 15?	Csm-0001	0	996	500	Xxx-0000	Consumo	RESISTOR DE CARBONO – 1/2W – 15?
