Nome	Identificação	Catmat	Quantidade	Estoque ideal	Posição	Categoria	Descrição
RESISTOR DE CARBONO – 1/2W – 120?	174	0	892	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 120?
RESISTOR DE CARBONO – 1/2W – 12K?	175	0	976	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 12K?
RESISTOR DE CARBONO – 1/2W – 12?	176	0	999	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 12?
RESISTOR DE CARBONO – 1/2W – 150K?	177	0	991	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 150K?
RESISTOR DE CARBONO – 1/2W – 15K?	178	0	963	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 15K?
RESISTOR DE CARBONO – 1/2W – 15?	179	0	996	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 15?
RESISTOR DE CARBONO – 1/2W – 180K?	180	0	1009	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 180K?
RESISTOR DE CARBONO – 1/2W – 180?	181	0	1981	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 180?
RESISTOR DE CARBONO – 1/2W – 18K?	182	0	974	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 18K?
RESISTOR DE CARBONO – 1/2W – 18?	183	0	1059	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 18?
RESISTOR DE CARBONO – 1/2W – 1?	184	0	955	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 1?
RESISTOR DE CARBONO – 1/2W – 2,2K?	185	0	623	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 2,2K?
RESISTOR DE CARBONO – 1/2W – 2,2M?	186	0	996	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 2,2M?
RESISTOR DE CARBONO – 1/2W – 2,2?	187	0	1932	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 2,2?
RESISTOR DE CARBONO – 1/2W – 220K?	188	0	965	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 220K?
RESISTOR DE CARBONO – 1/2W – 220?	189	0	1583	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 220?
RESISTOR DE CARBONO – 1/2W – 22?	190	0	1013	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 22?
RESISTOR DE CARBONO – 1/2W – 270K?	191	0	970	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 270K?
RESISTOR DE CARBONO – 1/2W – 270?	192	0	916	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 270?
RESISTOR DE CARBONO – 1/2W – 27K?	193	0	973	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 27K?
RESISTOR DE CARBONO – 1/2W – 30K?	194	0	17	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 30K?
RESISTOR DE CARBONO – 1/2W – 27?	195	0	970	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 27?
RESISTOR DE CARBONO – 1/2W – 3,3K?	196	0	4	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 3,3K?
RESISTOR DE CARBONO – 1/2W – 3,3M?	197	0	1216	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 3,3M?
RESISTOR DE CARBONO – 1/2W – 3,3?	198	0	1060	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 3,3?
RESISTOR DE CARBONO – 1/2W – 3,9K?	199	0	686	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 3,9K?
RESISTOR DE CARBONO – 1/2W – 330K?	200	0	1024	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 330K?
RESISTOR DE CARBONO – 1/2W – 33K?	201	0	1932	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 33K?
RESISTOR DE CARBONO – 1/2W – 33?	202	0	1044	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 33?
RESISTOR DE CARBONO – 1/2W – 390K?	203	0	1008	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 390K?
RESISTOR DE CARBONO – 1/2W – 390?	204	0	890	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 390?
RESISTOR DE CARBONO – 1/2W – 39K?	205	0	906	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 39K?
RESISTOR DE CARBONO – 1/2W – 39?	206	0	995	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 39?
RESISTOR DE CARBONO – 1/2W – 4,7K?	207	0	1021	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 4,7K?
RESISTOR DE CARBONO – 1/2W – 4,7M?	208	0	977	500	2	Consumo	RESISTOR DE CARBONO – 1/2W – 4,7M?
