Nome	Identificação	Catmat	Quantidade	Estoque ideal	Posição	Categoria	Descrição
MICROCONTROLADOR – PIC18F4550 (PDIP)	112	0	12	50	2	Consumo	MICROCONTROLADOR – PIC18F4550 (PDIP)
MICROCONTROLADOR - ATMEGA 328P-PU	113	0	21	50	2	Consumo	MICROCONTROLADOR - ATMEGA 328P-PU
MICROFONE ELETRETO 2 TERMINAIS 10X7	114	0	477	100	2	Consumo	MICROFONE ELETRETO 2 TERMINAIS 10X7
PERCLORETO DE FERRO PÓ PARA SOLUÇÃO DE CORROSÃO PCI – 500G	115	0	7	10	2	Consumo	PERCLORETO DE FERRO PÓ PARA SOLUÇÃO DE CORROSÃO PCI – 500G
PLACA DE CIRCUITO IMPRESSO DE FENOLITE VIRGEM SIMPLES 10X20CM	116	0	15	50	2	Consumo	PLACA DE CIRCUITO IMPRESSO DE FENOLITE VIRGEM SIMPLES 10X20CM
Flip Flop JK CMOS – CD4027BE 	117	0	0	200	2	Consumo	Flip Flop JK CMOS – CD4027BE 
PORTA LÓGICA CMOS - 74HC00 - NAND	118	0	71	200	2	Consumo	PORTA LÓGICA CMOS - 74HC00 - NAND
PORTA LÓGICA TTL – 74LS00 - NAND	119	0	1	200	2	Consumo	PORTA LÓGICA TTL – 74LS00 - NAND
PORTA LÓGICA CMOS - 74HC02 - NOR	120	0	90	200	2	Consumo	PORTA LÓGICA CMOS - 74HC02 - NOR
PORTA LÓGICA TTL – 74LS02 - NOR	121	0	5	200	2	Consumo	PORTA LÓGICA TTL – 74LS02 - NOR
PORTA LÓGICA CMOS - 74HC04 - NOT	122	0	184	200	2	Consumo	PORTA LÓGICA CMOS - 74HC04 - NOT
PORTA LÓGICA TTL – 74LS04 - NOT	123	0	68	200	2	Consumo	PORTA LÓGICA TTL – 74LS04 - NOT
PORTA LÓGICA CMOS - 74HC08 - AND	124	0	94	200	2	Consumo	PORTA LÓGICA CMOS - 74HC08 - AND
PORTA LÓGICA TTL – 74LS08 - AND	125	0	230	200	2	Consumo	PORTA LÓGICA TTL – 74LS08 - AND
PORTA LÓGICA CMOS - 74HC32 - OR	126	0	129	200	2	Consumo	PORTA LÓGICA CMOS - 74HC32 - OR
PORTA LÓGICA TTL – 74LS32 - OR	127	0	199	200	2	Consumo	PORTA LÓGICA TTL – 74LS32 - OR
PORTA LÓGICA TTL – 74LS76 - JK FLIP-FLOPS WITH SET AND CLEAR	128	0	102	200	2	Consumo	PORTA LÓGICA TTL – 74LS76 - JK FLIP-FLOPS WITH SET AND CLEAR
PORTA LÓGICA CMOS - 74HC157 - SELECTOR/MULTIPLEXER	129	0	101	200	2	Consumo	PORTA LÓGICA CMOS - 74HC157 - SELECTOR/MULTIPLEXER
PORTA LÓGICA CMOS - 74HC138 DECODER/DEMULTIPLEXER	130	0	105	200	2	Consumo	PORTA LÓGICA CMOS - 74HC138 DECODER/DEMULTIPLEXER
POTENCIOMETRO 10K?	131	0	992	200	2	Consumo	POTENCIOMETRO 10K?
POTENCIOMETRO 1K?	132	0	956	200	2	Consumo	POTENCIOMETRO 1K?
POTENCIOMETRO 100K?	133	0	989	200	2	Consumo	POTENCIOMETRO 100K?
POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 100K	134	0	51	50	2	Consumo	POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 100K
POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 1K	135	0	50	50	2	Consumo	POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 1K
POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 5K	136	0	48	50	2	Consumo	POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 5K
POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 10K	137	0	51	50	2	Consumo	POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 10K
POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 50K	138	0	47	50	2	Consumo	POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 50K
POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 200K	139	0	49	50	2	Consumo	POTENCIÔMETRO LINEAR 1 VOLTA 1/8" – 200K
